chair /tʃeə/ 椅子
desk /desk/ 书桌，写字台
blackboard /'blækbɔːd/ 黑板
on /ɒn/ 在……上       In在……里面
under /ˈʌndə(r)/ 在……下面/下方
where /weə(r)/ 在哪里
the /ðə , ði/ 放在名词前，特指人、事或物
light    /laɪt/    灯
bed    /bed/    床
door    /dɔː/    门，出入口
box    /bɒks/    箱子，盒子
near    /nɪə/    靠近，接近
behind    /bɪ'haɪnd/    在...背后
plane    /pleɪn/    飞机
ball    /bɔːl/    球
doll    /dɒl/    玩偶，玩具娃娃
train    /treɪn/    列车，火车
car    /kɑː/    小汽车，轿车
bear    /beə/    玩具熊，熊
can    /kæn/    可以，能够
sure    /ʃʊə/    当然
sorry    /ˈsɒri/    对不起，抱歉
ice    /raɪs/    米饭，米
noodles    /'nuːdl/    面条
vegetable    /'vedʒɪtəbl/    蔬菜
fish    /fɪʃ/    鱼肉，鱼
chicken    /ˈtʃɪkɪn/    鸡肉，鸡
egg    /eg/    鸡蛋
hungry     /'hʌŋgri/    饥饿的
want    /wɒnt/    要，想要
and    /ænd/    和，又，而
juice    /dʒuːs/    （水果；蔬菜；肉等的）汁；水汁
tea    /tiː/    茶
milk    /mɪlk/    牛奶
water    /'wɔːtə/    水；浇水
thirsty    /'θɜːsti/    口渴的
thanks    /θæŋks/    谢谢（只用复数）
shirt    /ʃɜːt/    衬衫
T-shirt    /'tiːʃɜːt/    T恤衫，短袖圆领衬衫
skirt    /skɜːt/    裙子
dress    /dres/    连衣裙，套裙
socks    /sɒks/    短袜
shorts    /ʃɔːts/    短裤
your    /jʊə/    你的，你们的
