my    /maɪ/     我的
your    /jʊə/     你的
name    /neɪm/     名字
new    /njuː/     新的
year    /jɪə/     年
old    /əʊld/     年老的
how old        多大
class    /klɑːs/     班级
grade    /greɪd/     年级
age    /eɪdʒ/     年龄
dear    /dɪə/     亲爱的
body    /ˈbɒdi/    身体
head    /hed/    头
hair    /heə/    头发
arm    /ɑːm/    胳膊
hand    /hænd/    手
leg    /leg/    腿
foot(feet)    /fʊt/    脚
the matter        麻烦事；困难；毛病
hurt    /hɜːt/    疼痛；弄疼
help    /help/    帮助
bad    /bæd/    坏的；糟糕
bite    /baɪt/    咬
tongue    /tʌŋ/    舌头
kick    /kɪk/    踢
morning    /'mɔːnɪŋ/    早晨
afternoon    /'ɑːftə'nuːn/    下午
summary    /ˈsʌməri/    总结，摘要
face    /feɪs/    脸
eye    /aɪ/    眼睛
nose    /nəʊz/    鼻子
mouth    /maʊθ/     嘴巴
ear    /ɪə/    耳朵
bread    /bred/     面包
cake    /keɪk/     蛋糕
fruit    /fruːt/     水果
ice-cream         冰淇淋
potato    /pə'teɪtəʊ/     土豆
tomato    /tə'meɪtəʊ/     西红柿
meat    /miːt/     肉
for    /fɔː/     当作，为，给
shopping list        购物单
cola    /'kəʊlə/     可乐
buy    /baɪ/     买
rice     /raɪs/     米
noodles         面条
vegetables         蔬菜
fish     /fɪʃ/     鱼
chicken    /ˈtʃɪkɪn/     鸡
egg    /eg/     鸡蛋
duck    /dʌk/    鸭
chicken  /ˈtʃɪkɪn/    鸡肉
rabbit    /'ræbɪt/    兔子
pet     /pet/    宠爱的动物
snake    /sneɪk/    蛇
turtle    /'tɜːtl/    海龟
small    /smɔːl/    小的
long    /lɒŋ/    长的
look for    /'lʊkfər/    寻找
tail     /teɪl/    尾巴，尾部
dance    /dɑːns/    舞蹈；跳舞
cat     /kæt/    猫
dog    /dɒg/    狗
bird    /bɜːd/    鸟
fish    /fɪʃ/    鱼
monkey    /'mʌŋki/    猴子
tiger    /'taɪgə/    老虎
big    /bɪg/    大的
short    /ʃɔːt/    短的；矮的
cap    /kæp/     帽子
coat    /kəʊt/     大衣
shoes    /ʃuːs/    鞋
sweater    /'swetə/     毛衣
jacket    /'dʒækɪt/     夹克衫
gloves         手套
trousers    /'traʊzəz/     裤子
should    /ʃʊd/     应该
wear    /weə/     穿
week    /wiːk/     星期
soon    /suːn/     不久，很快
Look forward    to        盼望
T-shirt    /'tiːʃɜːt/     T恤
shorts    /ʃɔːts/     短裤
socks    /sɒks/     短袜
skirt    /skɜːt/     裙子
dress    /dres/     连衣裙
shirt    /ʃɜːt/     衬衫
January    /'dʒænjʊeri/    一月
February    /'dʒænjʊeri/ 二月
March    /mɑːtʃ/    三月
April    /'eɪprəl/    四月
May    /meɪ/    五月；可以；可能；也许
June    /dʒuːn/    六月
July    /dʒuː'laɪ/    七月
August    /ɔː'gʌst/    八月
September    /sep'tembə/    九月
October    /ɒkˈtəʊbə/    十月
November    /nəʊ'vembə/    十一月
December    /dɪ'sembə/    十二月
birthday    /'bɜːθdeɪ/    生日
first    /fɜːst/    第一，首先，最初
party    /'pɑːti/    聚会
delicious    /dɪ'lɪʃəs/    美味的，可口的
